variant	mean_date
JN.1.39	2024.15
JN.1.4	2024.14
JN.1.4.2	2024.17
JN.1.42	2024.13
JN.1.43	2024.1
JN.1.4.5	2024.13
JN.1.7	2024.26
JN.1.7.5	2024.23
JN.1.8.1	2024.2
JN.1.9	2024.08
KP.1.1	2024.44
KP.1.1.1	2024.46
KP.1.1.3	2024.74
KP.2	2024.44
KP.2.2	2024.51
KP.2.3	2024.58
KP.3	2024.54
KP.3.1	2024.54
KP.3.1.1	2024.77
KP.3.2	2024.51
KP.3.2.3	2024.53
KP.3.3	2024.57
KS.1	2024.46
LB.1	2024.54
LB.1.3	2024.68
LB.1.7	2024.54
LP.1	2024.58
MC.1	2024.87
MC.13	2024.78
MC.16	2024.76
MC.24	2024.78
P.1	2021.38
P.1.10	2021.38
P.1.13	2021.36
P.1.17	2021.4
P.2	2021.14
Q.3	2021.35
R.1	2021.18
XB	2021.44
XBB	2023.04
XBB.1	2023.39
XBB.1.15	2022.99
XBB.1.16	2023.52
XBB.1.16.1	2023.49
XBB.1.16.11	2023.74
XBB.1.16.15	2023.77
XBB.1.16.2	2023.5
XBB.1.16.6	2023.72
XBB.1.22.1	2023.58
XBB.1.41	2023.71
XBB.1.42	2023.61
XBB.1.42.2	2023.59
XBB.1.5	2023.26
XBB.1.5.1	2023.28
XBB.1.5.10	2023.48
XBB.1.5.11	2023.14
XBB.1.5.13	2023.21
XBB.1.5.15	2023.29
XBB.1.5.16	2023.21
XBB.1.5.17	2023.22
XBB.1.5.19	2023.15
XBB.1.5.20	2023.23
XBB.1.5.21	2023.21
XBB.1.5.31	2023.17
XBB.1.5.32	2023.2
XBB.1.5.33	2023.16
XBB.1.5.35	2023.27
XBB.1.5.4	2023.28
XBB.1.5.48	2023.22
XBB.1.5.49	2023.33
XBB.1.5.51	2023.22
XBB.1.5.67	2023.14
XBB.1.5.68	2023.55
XBB.1.5.70	2023.71
XBB.1.5.72	2023.56
XBB.1.5.73	2023.51
XBB.1.5.95	2023.31
XBB.1.9.1	2023.49
XBB.1.9.2	2023.44
XBB.2	2022.96
XBB.2.3	2023.5
XBB.2.3.11	2023.72
XBB.2.3.2	2023.52
XEC	2024.89
